CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Saturday 04 March 2023
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,194,176,77,57,38,22,35,129,262,688,1472,2306,2792,3079,3253,3291,3193,2838,2312,1646,1017,799,597,429
Bourke Street Mall (South),2,190,108,112,54,20,16,25,49,149,544,1086,1677,2112,2152,2270,2123,2037,1636,1058,713,529,377,373,372
Melbourne Central,3,1142,752,438,257,110,67,104,135,268,515,767,1360,2009,2388,2834,2550,2581,2433,2637,2649,2331,2303,1944,1644
Town Hall (West),4,838,408,271,147,61,72,125,182,405,1029,1933,2874,3572,4071,4752,3976,3900,3673,3292,2972,2532,2110,2497,1832
Princes Bridge,5,793,402,166,112,47,63,162,212,398,747,1294,1821,2476,2736,3532,2877,2510,3540,3140,2770,2703,2583,3516,1921
Flinders Street Station Underpass,6,892,383,290,134,109,97,150,284,548,953,1242,1714,1917,1898,2208,2343,2298,2458,2181,2095,1896,1778,1843,1357
Birrarung Marr,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Webb Bridge,8,35,20,5,N/A,4,1,20,80,141,247,388,343,460,374,391,417,335,333,280,204,200,152,96,57
Southern Cross Station,9,52,40,31,9,17,17,39,66,190,140,212,156,198,214,156,141,205,187,194,136,107,72,100,70
Victoria Point,10,31,25,2,2,3,2,24,36,48,78,143,91,104,86,69,77,110,95,148,143,82,67,80,48
Waterfront City,11,22,18,3,2,2,2,7,50,115,110,108,112,115,126,104,152,131,206,251,356,373,275,145,45
New Quay,12,104,56,25,15,11,12,27,79,221,223,321,359,384,390,349,373,393,474,599,718,835,613,470,212
Sandridge Bridge,14,270,158,110,49,49,35,67,119,194,361,368,565,534,604,615,719,622,736,750,703,615,557,582,520
Collins Place (South),17,117,57,20,26,17,31,45,70,127,191,255,293,321,325,289,298,343,412,393,342,242,201,265,202
Collins Place (North),18,37,28,10,1,4,6,7,18,55,106,152,159,208,263,161,175,145,115,155,103,84,55,117,88
Chinatown-Swanston St (North),19,481,291,166,98,47,16,14,24,67,171,375,677,1144,1328,1221,1187,1207,1290,1460,1573,1418,1220,1090,803
Chinatown-Lt Bourke St (South),20,360,199,85,33,9,22,18,31,39,93,198,362,634,679,470,457,712,732,910,992,938,758,1016,882
Bourke St-Russell St (West),21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Elizabeth St (East),22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spencer St-Collins St (South),23,93,64,25,25,18,33,57,89,128,214,243,285,216,302,289,256,286,254,258,309,243,207,199,246
Spencer St-Collins St (North),24,470,221,159,143,52,77,226,373,706,821,1059,1360,1334,1234,1395,1357,1504,1358,1250,1045,1031,838,971,1009
Melbourne Convention Exhibition Centre,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QV Market-Elizabeth St (West),26,297,175,178,151,82,69,92,186,298,689,1011,1429,1638,1596,1491,1190,847,661,674,654,550,504,353,306
QV Market-Peel St,27,54,26,20,16,7,14,32,82,132,285,412,393,413,431,398,358,231,177,156,116,120,130,116,78
The Arts Centre,28,154,70,64,43,18,35,72,100,234,415,760,1232,1584,1970,3192,1831,1614,2285,2108,1396,1025,1152,2574,718
St Kilda Rd-Alexandra Gardens,29,127,51,14,28,15,29,37,108,210,332,379,505,599,832,919,765,698,1263,1209,1288,668,420,1940,629
Lonsdale St (South),30,727,488,288,234,88,92,63,73,113,261,380,525,687,746,725,768,860,959,1061,1083,1141,1111,1221,1010
Lygon St (West),31,249,56,50,12,15,7,11,32,58,118,169,250,264,332,316,460,390,493,694,795,1123,1158,808,505
Flinders St-Spark La,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Southbank,35,1258,606,294,130,85,101,204,483,891,1446,2008,2480,2976,3331,3571,3672,3878,4422,4225,4466,4001,3784,3703,2630
Queen St (West),36,185,183,170,69,16,8,19,54,110,181,260,278,204,296,309,278,271,234,274,299,232,278,433,485
Lygon St (East),37,83,36,13,14,13,7,8,32,47,96,136,226,230,224,227,227,239,171,N/A,N/A,N/A,189,621,326
Alfred Place,39,30,32,13,7,26,18,20,26,58,148,140,130,107,147,108,100,187,178,166,98,91,78,50,142
Lonsdale St-Spring St (West),40,53,27,14,14,8,11,54,56,75,142,192,272,406,269,226,268,294,323,392,250,185,180,344,178
Grattan St-Swanston St (West),42,58,20,22,6,9,9,13,26,31,81,81,119,227,197,217,236,144,180,158,97,150,109,89,54
Monash Rd-Swanston St (West),43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tin Alley-Swanston St (West),44,13,5,15,2,3,2,6,15,18,52,75,74,34,15,16,16,9,2,5,5,10,13,17,11
Little Collins St-Swanston St (East),45,544,297,173,122,52,52,50,79,183,421,714,961,1256,1566,2121,1541,1665,1603,1414,1423,1329,1130,1121,939
Flinders La-Swanston St (West),41,1179,579,439,265,149,185,316,442,760,1448,2259,3069,3479,3843,4372,3690,3725,3726,3321,2985,2435,2348,2956,2409
Pelham St (South),46,39,35,13,11,4,6,5,22,60,65,87,92,168,98,149,120,106,138,93,117,113,99,79,34
Melbourne Central-Elizabeth St (East),47,477,346,233,166,70,66,71,157,424,736,1262,1766,2100,2644,2660,2461,2410,2213,1840,1722,1666,1259,1120,830
QVM-Queen St (East),48,65,49,29,35,24,31,90,117,207,359,576,642,745,717,747,532,323,286,243,215,218,200,174,152
QVM-Therry St (South),49,181,90,71,72,35,66,46,95,164,318,556,891,892,880,669,554,453,282,286,205,187,239,212,183
Faraday St-Lygon St (West),50,59,5,6,6,8,10,2,23,66,202,323,410,544,585,577,622,649,585,670,763,745,636,445,181
QVM-Franklin St (North),51,73,50,38,16,10,33,27,41,70,150,264,270,335,367,326,307,237,192,178,193,158,139,123,65
Elizabeth St-Lonsdale St (South),52,457,349,205,151,35,27,25,49,120,225,386,591,688,879,908,863,854,808,902,914,874,844,887,796
Collins St (North),53,137,109,52,28,12,15,26,48,164,478,851,1308,1344,1464,1453,1462,1294,987,723,608,401,390,518,313
Lincoln-Swanston (West),54,99,59,56,36,28,18,19,30,74,114,126,215,258,297,325,263,206,247,298,311,350,347,203,147
